singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Beyonce,Deja Vu,0.644,0.746,-4.941,0.341,0.0071,1.22e-05,0.0743,0.355,105.253
Katy Perry,Cry About It Later,0.692,0.67,-5.829,0.0871,0.0796,1.65e-05,0.248,0.445,126.004
Billy Esteban,First Snow,0.506,0.741,-7.049,0.0509,0.0218,0.938,0.181,0.912,100.009
Billy Esteban,A Book of the Sea,0.814,0.698,-8.193,0.0368,0.164,0.787,0.105,0.769,104.018
Evgeny Grinko,Where,0.171,0.063,-19.713,0.0505,0.987,0.8,0.104,0.0746,70.305
Billie Eilish,ilomilo,0.855,0.423,-15.044,0.0585,0.724,0.469,0.0896,0.572,120.02
Maroon 5,Lady Killer,0.798,0.269,-18.163,0.939,0.921,0.0,0.216,0.573,67.728
Katy Perry,Wide Awake,0.514,0.683,-5.099,0.0367,0.0749,2.64e-06,0.392,0.575,159.814
Billy Esteban,Izrael,0.651,0.762,-7.113,0.034,0.729,0.905,0.0932,0.564,99.974
Billy Esteban,Balkan Woman,0.617,0.748,-4.32,0.0344,0.000503,0.65,0.332,0.827,125.017
Gazapizm,Karanfil,0.559,0.718,-9.995,0.288,0.497,0.0,0.978,0.696,87.99
Maroon 5,Tickets,0.796,0.836,-4.19,0.0322,0.0163,2.72e-06,0.106,0.973,120.026
Katy Perry,Miss You More,0.538,0.48,-8.075,0.0335,0.221,0.0,0.113,0.253,123.808
Post Malone,Waiting For Never,0.593,0.834,-3.738,0.0424,0.115,0.0,0.191,0.555,151.944
Maroon 5,One Light,0.81,0.642,-5.801,0.0712,0.106,0.0,0.0805,0.596,105.968
Maroon 5,Whiskey,0.604,0.405,-8.279,0.0597,0.735,0.0,0.105,0.0861,103.98
Evgeny Grinko,Tomorrow,0.639,0.028,-29.729,0.039,0.971,0.397,0.116,0.4,130.02
Mark Eliyahu,Hame Azad,0.764,0.649,-7.381,0.102,0.159,0.844,0.619,0.402,123.983
Dua Lipa,Hotter Than Hell,0.532,0.868,-4.23,0.0908,0.011,0.0,0.0584,0.529,110.127
Rihanna,"Yeah, I Said It",0.509,0.38,-7.479,0.158,0.547,1.21e-06,0.36,0.249,127.88
Post Malone,On The Road,0.442,0.737,-5.046,0.109,0.0589,0.0,0.102,0.21,112.93
Houssem Amari,Ma Reine,0.485,0.607,-8.519,0.238,0.284,0.00108,0.674,0.27,109.926
Dua Lipa,Dreams,0.726,0.823,-4.581,0.0675,0.0688,0.0,0.332,0.892,104.973
Alan Walker,Heading Home,0.73,0.789,-3.982,0.034,0.0269,0.0,0.129,0.106,107.981
Jacob's Piano,Jardin,0.346,0.0332,-23.963,0.038,0.986,0.937,0.0912,0.0799,133.979
Katy Perry,Ghost,0.552,0.624,-5.372,0.0399,0.0364,0.0,0.123,0.338,124.99
Katy Perry,Ur So Gay,0.647,0.883,-4.263,0.052,0.0401,1.45e-06,0.117,0.587,78.984
Maroon 5,Beautiful Mistakes,0.713,0.676,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048
Mark Eliyahu,Memories,0.308,0.135,-20.539,0.0409,0.959,0.714,0.106,0.0313,65.809
Beyonce,Resentment,0.29,0.574,-5.387,0.112,0.6,0.0,0.149,0.48,197.431
Billy Esteban,Starry Field,0.574,0.285,-21.626,0.0413,0.969,0.877,0.259,0.394,99.988
